path,className1,className2,breadcrumbPath1,breadcrumbPath2,breadcrumbName1,breadcrumbName2,name,title,levelOfAnalysis,sources,timeliness,tableHeader,level5,level4,level3,level2,level1
/documentation/fsl/livestock/selling-livestock/,a-3,selling-livestock,/documentation/fsl/,/documentation/fsl/livestock/,Food Security & Livelihoods,Livestock,Selling Livestock,Coping Strategy - Selling Livestock,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Households selling livestock >= 70%,Households selling livestock >= 50%,Households selling livestock >= 30%,Above conditions are not met
/documentation/fsl/livestock/livestock-disease/,a-3,livestock-disease,/documentation/fsl/,/documentation/fsl/livestock/,Food Security & Livelihoods,Livestock,Livestock Disease,Perception of Livestock Disease,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Livestock disease >= 60%,Livestock disease >= 40%,Livestock disease >= 20%,Above conditions are not met
/documentation/fsl/livestock/access-to-milk-dairy/,a-3,access-to-milk-dairy,/documentation/fsl/,/documentation/fsl/livestock/,Food Security & Livelihoods,Livestock,Access to Milk & Dairy,Access to Milk and Dairy,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,No access to milk or dairy >= 80%,No access to milk or dairy >= 60%,No access to milk or dairy >= 40%,Above conditions are not met
/documentation/fsl/markets/access-to-markets/,a-4,access-to-markets,/documentation/fsl/,/documentation/fsl/markets/,Food Security & Livelihoods,Markets,Access to Markets,Access to Markets,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,No access to markets >= 60%,No access to markets >= 40%,No access to markets >= 20%,Above conditions are not met
/documentation/fsl/markets/sorghum-prices/,a-4,sorghum-prices,/documentation/fsl/,/documentation/fsl/markets/,Food Security & Livelihoods,Markets,Sorghum Prices,White Sorghum Price,Market - indicative of county,"WFP VAM, REACH, CLIMIS",Monthly,Counties Reporting,N/A,Price increase from previous month >= 15%,Price increase from previous month >= 10%,Price increase from previous month >= 5%,Above conditions are not met
/documentation/fsl/markets/field-bean-prices/,a-4,field-bean-prices,/documentation/fsl/,/documentation/fsl/markets/,Food Security & Livelihoods,Markets,Field Bean Prices,Field Beans Price,Market - indicative of county,"WFP VAM, REACH, CLIMIS",Monthly,Counties Reporting,N/A,Price increase from previous month >= 15%,Price increase from previous month >= 10%,Price increase from previous month >= 5%,Above conditions are not met
/documentation/fsl/climate/live-green-vegetation-ndvi/,a-5,live-green-vegetation-ndvi,/documentation/fsl/,/documentation/fsl/climate/,Food Security & Livelihoods,Climate,Live Green Vegetation (NDVI),Live Green Vegetation (NDVI) Coverage,County,WFP VAM Dataviz platform,Monthly,Counties Reporting,N/A,Current NDVI compared to historic average <= 90%,Current NDVI compared to historic average <= 95%,Current NDVI compared to historic average <= 100%,Above conditions are not met
/documentation/fsl/climate/rainfall/,a-5,rainfall,/documentation/fsl/,/documentation/fsl/climate/,Food Security & Livelihoods,Climate,Rainfall,Change in Rainfall From Long Term Mean,County,CHIRPs via WFP VAM Dataviz platform,Monthly,Counties Reporting,N/A,Increase or decrease from long term mean >= 30%,Increase or decrease from long term mean >= 20%,Increase or decrease from long term mean >= 10%,Above conditions are not met
/documentation/wash/clean-timely-safe-water/,b,clean-timely-safe-water,/documentation/wash/,,Water Sanitation & Hygiene,,Clean Timely & Safe Water,"Perception of Access to Clean, Timely and Safe Water (CTSW)",Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,No access to clean timely and safe water >= 70%,No access to clean timely and safe water >= 40%,No access to clean timely and safe water >= 20%,Above conditions are not met
/documentation/wash/open-defecation/,b,open-defecation,/documentation/wash/,,Water Sanitation & Hygiene,,Open Defecation,Open Defecation,Household,"FSNMS, SMART, Ad-hoc surveys","Bi-annual, Ad-hoc",Percentage of Assessed Households Reporting,N/A,Practicing open defecation >= 90%,Practicing open defecation >= 40%,Practicing open defecation >= 20%,Above conditions are not met
/documentation/wash/rainfall/,b,rainfall,/documentation/wash/,,Water Sanitation & Hygiene,,Rainfall,Change in Rainfall From Long Term Mean,County,CHIRPs via WFP VAM Dataviz platform,Monthly,Counties Reporting,N/A,Increase or decrease from long term mean >= 30%,Increase or decrease from long term mean >= 20%,Increase or decrease from long term mean >= 10%,Above conditions are not met
/documentation/wash/acute-watery-diarrhoea/,b,acute-watery-diarrhoea,/documentation/wash/,,Water Sanitation & Hygiene,,Acute Watery Diarrhoea,Acute Watery Diarrhoea (AWD) Caseload and Death Rates,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/wash/cholera/,b,cholera,/documentation/wash/,,Water Sanitation & Hygiene,,Cholera,Cholera Caseload and Attributable Mortality,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/wash/malaria/,b,malaria,/documentation/wash/,,Water Sanitation & Hygiene,,Malaria,Malaria Caseload and Death Rates,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/health/acute-respiratory-infection/,c,acute-respiratory-infection,/documentation/health/,,Health,,Acute Respiratory Infection,Acute Respiratory Infection (ARI) Morbidity,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/health/measles/,c,measles,/documentation/health/,,Health,,Measles,Measles Caseload and Attributable Mortality,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/health/ebola/,c,ebola,/documentation/health/,,Health,,Ebola,Ebola Virus Disease (EVD) Caseload,County,WHO EWARS,Monthly,Counties Reporting,N/A,Confirmed cases >= 1,N/A,N/A,Above conditions are not met
/documentation/health/acute-watery-diarrhoea/,c,acute-watery-diarrhoea,/documentation/health/,,Health,,Acute Watery Diarrhoea,Acute Watery Diarrhoea (AWD) Caseload and Death Rates,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/health/cholera/,c,cholera,/documentation/health/,,Health,,Cholera,Cholera Caseload and Attributable Mortality,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/health/malaria/,c,malaria,/documentation/health/,,Health,,Malaria,Malaria Caseload and Death Rates,County,WHO EWARS,Monthly,Counties Reporting,N/A,Morbidity >= 77% of historic national rates,Morbidity >= 66% of historic national rates,Morbidity >= 55% of historic national rates,Above conditions are not met
/documentation/nutrition/global-acute-malnutrition/,d,global-acute-malnutrition,/documentation/nutrition/,,Nutrition,,Global Acute Malnutrition,Prevalence of Global Acute Malnutrition (GAM) From Weight for Height Z-score (WHZ),County,"FSNMS, SMART (NIWG Validated)","Bi-annual, Ad-hoc",Counties Reporting,N/A,Global acute malnutrition >= 15%,Global acute malnutrition >= 10%,Global acute malnutrition >= 5%,Above conditions are not met
